City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
217,Chivolo,CO,84.7,broken clouds,10.025,-74.6228,Hotel Majest
220,Hun,LY,83.16,clear sky,29.1268,15.9477,Alrwasi Hotel
228,Ponta Do Sol,PT,75.83,overcast clouds,32.6667,-17.1,Hotel do Campo
229,San Ignacio,BZ,89.74,thunderstorm,17.1561,-89.0714,Rainforest Haven Inn
239,Lapithos,CY,77.68,clear sky,35.3375,33.1792,Gillham Luxury Boutique & Vineyard
242,Gigmoto,PH,80.55,light rain,13.7796,124.39,Cj's Travellers Inn
243,Baculin,PH,78.64,overcast clouds,7.4525,126.5842,Shovy's Cove
252,Ciudad Bolivar,VE,82.56,overcast clouds,8.1222,-63.5497,Hotel Edi
253,Tual,ID,79.79,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
254,Myitkyina,MM,76.46,broken clouds,25.3833,97.4,Shwe Phyu Hotel
255,Sao Filipe,CV,79.27,clear sky,14.8961,-24.4956,Hotel Xaguate
260,Itoman,JP,84.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
261,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
264,Youkounkoun,GN,77.94,overcast clouds,12.5333,-13.1333,
270,Wilmington,US,78.98,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
272,Padang,ID,75.25,scattered clouds,-0.9492,100.3543,Mercure Padang
273,Portland,US,86.47,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
275,Nata,PA,85.87,overcast clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
277,Shellbrook,CA,76.23,broken clouds,53.2168,-106.4011,Shellbrook Hotel
278,Nouakchott,MR,82.33,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
290,Weyburn,CA,84.18,broken clouds,49.6668,-103.8511,Perfect Inns & Suites
294,Mayo,US,77.95,clear sky,38.8876,-76.5119,Resorts Resource Group International
297,Ilebo,CD,75.72,scattered clouds,-4.3167,20.5833,Hôtel BUMAK
298,Samarai,PG,78.62,overcast clouds,-10.6167,150.6667,Nuli Sapi
299,Buin,CL,77.32,broken clouds,-33.7333,-70.75,Paihuen
305,Mathbaria,BD,79.56,few clouds,22.2876,89.9593,Shikdar Hotel
308,La Union,PE,76.01,scattered clouds,-5.4,-80.75,Los Portales
311,Kilindoni,TZ,75.97,scattered clouds,-7.9139,39.6668,Bustani B&B
314,Cabrobo,BR,87.03,clear sky,-8.5142,-39.31,Hotel Limarques
315,Guanica,PR,85.98,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
326,Dingle,PH,75.85,light rain,10.9995,122.6711,SEGAYA PROPERTY
335,Itarema,BR,77.92,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
342,Coahuayana,MX,87.28,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
343,Hobyo,SO,77.13,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
346,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
347,Carutapera,BR,79.02,scattered clouds,-1.195,-46.02,Lidera
352,Sinnamary,GF,79.99,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
353,Baindur,IN,76.96,overcast clouds,13.8667,74.6333,Sai Vishram Beach Resort (Veg and Non-alcoholic Resort)
356,Riyadh,SA,87.94,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
359,Pandan Niog,PH,82.92,overcast clouds,6.2282,120.5631,
367,Liuli,TZ,75.09,scattered clouds,-11.0833,34.6333,"Puulu Beach,Puulu Village"
371,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
372,Kokopo,PG,82.08,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
373,Kutum,SD,79.03,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
374,Abnub,EG,84.42,clear sky,27.2696,31.1511,Romany Adly Gad
379,Vaitape,PF,77.7,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
382,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
385,Alugan,PH,78.6,overcast clouds,12.2188,125.4808,JM Lodge
386,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
394,Arthur,US,78.98,clear sky,39.7148,-88.4723,Arthur's Country Inn
395,Shaoguan,CN,76.42,few clouds,24.8,113.5833,Shangcheng Hotel
397,San Quintin,MX,78.1,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
401,Roura,GF,81.97,clear sky,4.7263,-52.3274,Amazonie Découverte SARL
402,Souris,CA,79.74,few clouds,49.6172,-100.2612,The Souris Hotel
403,Monte Aprazivel,BR,79.45,broken clouds,-20.7725,-49.7142,Torres Palace Hotel
411,Nishihara,JP,83.48,scattered clouds,26.1842,127.7558,Minshuku Agaihama
412,Tarauaca,BR,87.15,broken clouds,-8.1614,-70.7656,Flat Temporada
413,Barahona,DO,87.62,few clouds,18.2085,-71.1008,Hotel Caribe
416,Tagusao,PH,79.77,moderate rain,9.1924,117.8141,Toledo
421,Kerema,PG,77.41,scattered clouds,-7.9631,145.7785,Frena Lodge
427,Kudahuvadhoo,MV,82.0,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
430,Kavaratti,IN,81.79,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
434,Dunmore Town,BS,84.96,clear sky,25.5,-76.65,Coral Sands Hotel
435,Pundaguitan,PH,82.67,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
441,Cuauhtemoc,MX,75.88,few clouds,28.4167,-106.8667,Motel Tarahumara Inn
442,Netrakona,BD,80.73,overcast clouds,24.8833,90.7167,kurpar gas office
443,Acarau,BR,78.06,few clouds,-2.8856,-40.12,castelo pizzaria
445,Kashi,CN,79.81,broken clouds,39.4547,75.9797,帕米尔青年旅舍
447,Manuk Mangkaw,PH,83.39,overcast clouds,4.8,119.85,
451,Bubaque,GW,81.19,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
452,Hamilton,US,77.14,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
453,Pochutla,MX,85.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
454,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
456,San Fernando,PH,81.14,light rain,15.0286,120.6898,Maharlika Hostel
458,Labuhan,ID,75.88,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
462,Lorengau,PG,81.73,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
464,Russell,US,83.43,clear sky,32.3502,-85.1999,Macs
