,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Diamantino,BR,-14.4086,-56.4461,82.74,50,88,3.04,overcast clouds
79,Camana,PE,-16.6228,-72.7111,62.92,77,31,6.82,scattered clouds
80,Harriston,CA,43.9001,-80.883,68.0,73,38,10.51,scattered clouds
81,Mabaruma,GY,8.2,-59.7833,80.6,89,75,11.5,thunderstorm
82,Aklavik,CA,68.2191,-135.0107,61.63,58,20,8.05,few clouds
83,Changji,CN,44.0167,87.3167,70.59,40,0,8.95,clear sky
84,Skibotn,NO,69.3913,20.2679,44.69,98,100,4.56,overcast clouds
85,Saint John,CA,45.2727,-66.0677,72.63,83,75,3.44,broken clouds
86,Ribeira Grande,PT,38.5167,-28.7,72.97,89,63,11.1,broken clouds
87,San Patricio,US,28.017,-97.5169,99.01,29,0,9.86,clear sky
88,Raudeberg,NO,61.9875,5.1352,58.19,97,100,10.47,light rain
89,Mahebourg,MU,-20.4081,57.7,68.29,88,40,3.44,scattered clouds
90,Finnsnes,NO,69.2296,17.9811,45.21,86,100,9.71,overcast clouds
91,Kapaa,US,22.0752,-159.319,84.52,68,40,1.01,scattered clouds
92,Lagoa,PT,39.05,-27.9833,71.85,87,82,14.34,broken clouds
93,Touros,BR,-5.1989,-35.4608,79.7,79,9,14.34,clear sky
94,Stuttgart,DE,48.7823,9.177,66.45,81,0,2.3,clear sky
95,Lebu,CL,-37.6167,-73.65,53.17,86,10,11.95,clear sky
96,Chapayevka,UA,47.4711,36.3451,58.71,41,4,1.88,clear sky
97,Port Alfred,ZA,-33.5906,26.891,63.39,77,63,31.23,broken clouds
98,Roald,NO,62.5833,6.1333,59.32,88,75,12.66,broken clouds
99,Renfrew,GB,55.872,-4.3925,62.64,91,90,4.61,haze
100,Axim,GH,4.8699,-2.2405,76.41,90,8,7.2,clear sky
101,Sola,VU,-13.8833,167.55,79.47,78,75,6.91,broken clouds
102,Gawler,AU,-34.6,138.7333,54.46,59,0,5.19,clear sky
103,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,62,40,11.5,scattered clouds
104,Mangrol,IN,21.1167,70.1167,79.56,89,100,13.22,overcast clouds
105,Laguna,US,38.421,-121.4238,105.21,21,1,5.01,clear sky
106,Alta Floresta,BR,-9.8756,-56.0861,70.16,97,97,5.3,moderate rain
107,Washim,IN,20.1,77.15,71.53,93,100,9.46,overcast clouds
108,Hilo,US,19.7297,-155.09,79.11,72,90,6.91,overcast clouds
109,Vestmanna,FO,62.1564,-7.1664,47.32,93,90,1.14,overcast clouds
110,Kavieng,PG,-2.5744,150.7967,83.19,75,45,18.66,scattered clouds
111,Calvia,ES,39.5657,2.5062,78.08,78,15,8.32,few clouds
112,Nikolskoye,RU,59.7035,30.7861,57.09,92,100,4.9,light rain
113,Norman Wells,CA,65.282,-126.8329,60.84,55,20,14.97,few clouds
114,Kousseri,CM,12.0769,15.0306,80.56,74,99,1.14,moderate rain
115,Buraydah,SA,26.326,43.975,90.05,15,76,7.96,broken clouds
116,Roma,US,43.2128,-75.4557,71.46,69,56,3.0,broken clouds
117,Aykhal,RU,66.0,111.5,43.9,68,6,5.08,clear sky
118,Xiaoshi,CN,41.2971,124.1209,57.22,99,87,3.83,overcast clouds
119,Livingston,GB,55.9029,-3.5226,61.12,99,90,5.75,fog
120,San Andres,CO,12.5847,-81.7006,87.82,70,40,6.91,scattered clouds
121,Asau,RO,46.4333,26.4,55.76,46,99,3.65,light rain
122,Vallenar,CL,-28.5708,-70.7581,71.26,30,0,7.07,clear sky
123,Tuatapere,NZ,-46.1333,167.6833,49.82,81,90,8.21,light rain
124,Turiacu,BR,-1.6633,-45.3717,77.47,80,72,6.33,broken clouds
125,Provideniya,RU,64.3833,-173.3,46.51,87,75,6.71,broken clouds
126,Belaya Gora,RU,68.5333,146.4167,33.73,65,87,2.17,overcast clouds
127,Qaanaaq,GL,77.484,-69.3632,23.22,65,75,5.5,broken clouds
128,West Wendover,US,40.7391,-114.0733,90.61,9,1,8.05,clear sky
129,Eureka,US,40.8021,-124.1637,83.68,78,92,3.0,overcast clouds
130,Mecca,SA,21.4267,39.8261,87.44,65,80,3.42,broken clouds
131,Bengkulu,ID,-3.8004,102.2655,74.91,87,100,7.65,overcast clouds
132,Port-Gentil,GA,-0.7193,8.7815,78.76,83,40,14.97,scattered clouds
133,Upernavik,GL,72.7868,-56.1549,34.18,69,94,3.24,overcast clouds
134,Doha,QA,25.2867,51.5333,94.98,47,0,8.05,clear sky
135,Ternate,ID,0.8,127.4,78.98,83,98,4.54,light rain
